time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
6.147000,0.796746,16.968020,-0.018056,0.074247,19.232503,0.000000,0.000000,27.000000,0.000000,46.726177,44.866102,44.826429,46.684977,0.264870,0.000015,0.000000,0.000000
6.197000,0.743395,18.083961,-0.017981,0.433809,20.401659,0.000000,0.000000,23.000000,0.000000,45.879301,45.702296,45.674830,45.850309,0.264870,0.000014,0.000000,0.000000
6.247000,0.677808,18.258594,-0.017940,-0.085737,20.414412,0.000000,0.000000,19.000000,0.000000,46.332494,45.133135,45.220111,46.417945,0.264870,0.000001,0.000000,0.000000
6.297000,0.673499,17.687377,-0.017946,0.035274,19.819678,0.000000,0.000000,15.000000,0.000000,46.201266,45.329976,45.351339,46.222629,0.264870,-0.000003,0.000000,0.000000
6.347000,0.645706,16.499200,-0.017979,0.175488,17.991343,0.000000,0.000000,10.000000,0.000000,46.181430,45.363546,45.371176,46.190585,0.264870,-0.000011,0.000000,0.000000
6.397000,0.588552,14.887737,-0.018082,0.361895,15.835404,0.000000,0.000000,6.000000,0.000000,46.190585,45.484092,45.360494,46.070039,0.264870,-0.000024,0.000000,0.000000
6.447000,0.510142,12.906593,-0.018257,0.258750,12.907086,0.000000,0.000000,2.000000,0.000000,46.158541,45.470359,45.391012,46.085298,0.264870,-0.000030,0.000000,0.000000
6.497000,0.522655,10.758935,-0.018344,0.284136,10.520631,0.000000,2.000000,2.000000,0.000000,45.432212,46.211948,46.121920,45.340658,0.264870,0.000026,1.000000,0.000000
6.547000,1.165645,9.521402,-0.017692,0.960670,9.116527,0.000000,6.000000,6.000000,0.000000,44.736400,46.010529,46.828412,45.529870,0.264870,0.000182,6.000000,0.000000
6.597000,2.435205,9.259097,-0.017073,2.491265,8.894698,0.000000,10.000000,10.000000,0.000000,44.902724,46.063935,46.654459,45.482567,0.264870,0.000060,10.000000,0.000000
6.647000,4.202401,9.789470,-0.017760,4.925617,9.662442,0.000000,15.000000,15.000000,0.000000,44.997330,45.973907,46.538491,45.595483,0.264870,-0.000289,14.000000,0.000000
6.697000,6.339497,10.942397,-0.020266,7.391806,10.873059,0.000000,19.000000,19.000000,0.000000,45.316243,46.213474,46.193637,45.381857,0.264870,-0.000635,18.000000,0.000000
6.747000,8.780811,12.624673,-0.024794,10.083883,12.893448,0.000000,23.000000,23.000000,0.000000,44.838636,45.940337,46.637675,45.687037,0.264870,-0.001032,22.000000,0.000000
6.796000,11.461426,14.676856,-0.030991,13.064302,15.107276,0.000000,27.000000,27.000000,0.000000,45.210956,45.922026,46.237888,45.734340,0.264870,-0.001440,27.000000,0.000000
6.846000,14.319927,17.015672,-0.039089,16.836414,18.448957,0.000000,29.000000,29.000000,0.000000,48.226139,45.627527,43.201343,46.050202,0.264870,-0.001717,29.000000,0.000000
6.895000,16.229300,18.573298,-0.044616,18.990969,20.039690,0.000000,25.000000,25.000000,0.000000,47.136645,45.600061,44.359503,46.010529,0.264870,-0.000696,25.000000,0.000000
6.945000,16.958636,19.112005,-0.045956,19.884258,20.495372,0.000000,20.000000,20.000000,0.000000,46.890974,45.598535,44.654002,45.961700,0.264870,-0.000099,21.000000,0.000000
6.995000,16.781056,18.811831,-0.046110,19.217762,20.091533,0.000000,16.000000,16.000000,0.000000,46.775006,45.696193,44.776074,45.857939,0.264870,-0.000032,17.000000,0.000000
7.045000,15.891171,17.829939,-0.046886,17.994376,18.455611,0.000000,12.000000,12.000000,0.000000,44.991226,45.865568,46.541543,45.705348,0.264870,-0.000292,13.000000,0.000000
7.095000,14.469854,16.391794,-0.048971,16.062886,16.671296,0.000000,8.000000,8.000000,0.000000,46.488136,45.709926,45.026322,45.880827,0.264870,-0.000569,8.000000,0.000000
7.145000,12.640909,14.554290,-0.052680,13.865417,14.394899,0.000000,4.000000,4.000000,0.000000,46.337072,45.662623,45.156023,45.951019,0.264870,-0.000858,4.000000,0.000000
